anomaly,date
-0.41,1909/09/01
-0.489,1909/10/01
-0.449,1909/11/01
-0.613,1909/12/01
-0.366,1910/01/01
-0.523,1910/02/01
-0.462,1910/03/01
-0.45,1910/04/01
-0.484,1910/05/01
-0.495,1910/06/01
-0.477,1910/07/01
-0.463,1910/08/01
-0.452,1910/09/01
-0.489,1910/10/01
-0.659,1910/11/01
-0.656,1910/12/01
-0.561,1911/01/01
-0.774,1911/02/01
-0.705,1911/03/01
-0.725,1911/04/01
-0.612,1911/05/01
-0.578,1911/06/01
-0.528,1911/07/01
-0.518,1911/08/01
-0.528,1911/09/01
-0.481,1911/10/01
-0.391,1911/11/01
-0.296,1911/12/01
-0.364,1912/01/01
-0.309,1912/02/01
-0.39,1912/03/01
-0.346,1912/04/01
-0.397,1912/05/01
-0.336,1912/06/01
-0.472,1912/07/01
-0.579,1912/08/01
-0.581,1912/09/01
-0.665,1912/10/01
-0.526,1912/11/01
-0.492,1912/12/01
-0.472,1913/01/01
-0.517,1913/02/01
-0.526,1913/03/01
-0.448,1913/04/01
-0.509,1913/05/01
-0.513,1913/06/01
-0.462,1913/07/01
-0.414,1913/08/01
-0.446,1913/09/01
-0.45,1913/10/01
-0.275,1913/11/01
-0.246,1913/12/01
-0.099,1914/01/01
-0.241,1914/02/01
-0.351,1914/03/01
-0.401,1914/04/01
-0.29,1914/05/01
-0.304,1914/06/01
-0.349,1914/07/01
-0.23,1914/08/01
-0.271,1914/09/01
-0.162,1914/10/01
-0.175,1914/11/01
-0.254,1914/12/01
-0.125,1915/01/01
-0.061,1915/02/01
-0.198,1915/03/01
-0.066,1915/04/01
-0.222,1915/05/01
-0.245,1915/06/01
-0.127,1915/07/01
-0.096,1915/08/01
-0.176,1915/09/01
-0.279,1915/10/01
-0.155,1915/11/01
-0.273,1915/12/01
-0.249,1916/01/01
-0.188,1916/02/01
-0.411,1916/03/01
-0.345,1916/04/01
-0.372,1916/05/01
-0.477,1916/06/01
-0.371,1916/07/01
-0.373,1916/08/01
-0.365,1916/09/01
-0.414,1916/10/01
-0.566,1916/11/01
-0.63,1916/12/01
-0.694,1917/01/01
-0.765,1917/02/01
-0.827,1917/03/01
-0.492,1917/04/01
-0.661,1917/05/01
-0.352,1917/06/01
-0.145,1917/07/01
-0.226,1917/08/01
-0.139,1917/09/01
-0.401,1917/10/01
-0.414,1917/11/01
-0.645,1917/12/01
-0.528,1918/01/01
-0.535,1918/02/01
-0.435,1918/03/01
-0.515,1918/04/01
-0.427,1918/05/01
-0.339,1918/06/01
-0.345,1918/07/01
-0.383,1918/08/01
-0.274,1918/09/01
-0.136,1918/10/01
-0.049,1918/11/01
-0.242,1918/12/01
-0.114,1919/01/01
-0.077,1919/02/01
-0.315,1919/03/01
-0.092,1919/04/01
-0.271,1919/05/01
-0.27,1919/06/01
-0.388,1919/07/01
-0.35,1919/08/01
-0.239,1919/09/01
-0.322,1919/10/01
-0.554,1919/11/01
-0.476,1919/12/01
-0.254,1920/01/01
-0.415,1920/02/01
-0.123,1920/03/01
-0.278,1920/04/01
-0.2,1920/05/01
-0.234,1920/06/01
-0.301,1920/07/01
-0.246,1920/08/01
-0.153,1920/09/01
-0.234,1920/10/01
-0.285,1920/11/01
-0.324,1920/12/01
-0.134,1921/01/01
-0.18,1921/02/01
